"Sepal.Length","Sepal.Width","Petal.Length","Petal.Width","Species","Code","Petal.Area"
5.1,3.5,1.4,0.2,"setosa",1,0.879645943005142
4.9,3,1.4,0.2,"setosa",1,0.879645943005142
4.7,3.2,1.3,0.2,"setosa",1,0.816814089933346
4.6,3.1,1.5,0.2,"setosa",1,0.942477796076938
5,3.6,1.4,0.2,"setosa",1,0.879645943005142
5.4,3.9,1.7,0.4,"setosa",1,2.13628300444106
4.6,3.4,1.4,0.3,"setosa",1,1.31946891450771
5,3.4,1.5,0.2,"setosa",1,0.942477796076938
4.4,2.9,1.4,0.2,"setosa",1,0.879645943005142
4.9,3.1,1.5,0.1,"setosa",1,0.471238898038469
5.4,3.7,1.5,0.2,"setosa",1,0.942477796076938
4.8,3.4,1.6,0.2,"setosa",1,1.00530964914873
4.8,3,1.4,0.1,"setosa",1,0.439822971502571
4.3,3,1.1,0.1,"setosa",1,0.345575191894877
5.8,4,1.2,0.2,"setosa",1,0.75398223686155
5.7,4.4,1.5,0.4,"setosa",1,1.88495559215388
5.4,3.9,1.3,0.4,"setosa",1,1.63362817986669
5.1,3.5,1.4,0.3,"setosa",1,1.31946891450771
5.7,3.8,1.7,0.3,"setosa",1,1.60221225333079
5.1,3.8,1.5,0.3,"setosa",1,1.41371669411541
5.4,3.4,1.7,0.2,"setosa",1,1.06814150222053
5.1,3.7,1.5,0.4,"setosa",1,1.88495559215388
4.6,3.6,1,0.2,"setosa",1,0.628318530717959
5.1,3.3,1.7,0.5,"setosa",1,2.67035375555132
4.8,3.4,1.9,0.2,"setosa",1,1.19380520836412
5,3,1.6,0.2,"setosa",1,1.00530964914873
5,3.4,1.6,0.4,"setosa",1,2.01061929829747
5.2,3.5,1.5,0.2,"setosa",1,0.942477796076938
5.2,3.4,1.4,0.2,"setosa",1,0.879645943005142
4.7,3.2,1.6,0.2,"setosa",1,1.00530964914873
4.8,3.1,1.6,0.2,"setosa",1,1.00530964914873
5.4,3.4,1.5,0.4,"setosa",1,1.88495559215388
5.2,4.1,1.5,0.1,"setosa",1,0.471238898038469
5.5,4.2,1.4,0.2,"setosa",1,0.879645943005142
4.9,3.1,1.5,0.2,"setosa",1,0.942477796076938
5,3.2,1.2,0.2,"setosa",1,0.75398223686155
5.5,3.5,1.3,0.2,"setosa",1,0.816814089933346
4.9,3.6,1.4,0.1,"setosa",1,0.439822971502571
4.4,3,1.3,0.2,"setosa",1,0.816814089933346
5.1,3.4,1.5,0.2,"setosa",1,0.942477796076938
5,3.5,1.3,0.3,"setosa",1,1.22522113490002
4.5,2.3,1.3,0.3,"setosa",1,1.22522113490002
4.4,3.2,1.3,0.2,"setosa",1,0.816814089933346
5,3.5,1.6,0.6,"setosa",1,3.0159289474462
5.1,3.8,1.9,0.4,"setosa",1,2.38761041672824
4.8,3,1.4,0.3,"setosa",1,1.31946891450771
5.1,3.8,1.6,0.2,"setosa",1,1.00530964914873
4.6,3.2,1.4,0.2,"setosa",1,0.879645943005142
5.3,3.7,1.5,0.2,"setosa",1,0.942477796076938
5,3.3,1.4,0.2,"setosa",1,0.879645943005142
7,3.2,4.7,1.4,"versicolor",2,20.6716796606208
6.4,3.2,4.5,1.5,"versicolor",2,21.2057504117311
6.9,3.1,4.9,1.5,"versicolor",2,23.090706003885
5.5,2.3,4,1.3,"versicolor",2,16.3362817986669
6.5,2.8,4.6,1.5,"versicolor",2,21.6769893097696
5.7,2.8,4.5,1.3,"versicolor",2,18.3783170235003
6.3,3.3,4.7,1.6,"versicolor",2,23.6247767549952
4.9,2.4,3.3,1,"versicolor",2,10.3672557568463
6.6,2.9,4.6,1.3,"versicolor",2,18.786724068467
5.2,2.7,3.9,1.4,"versicolor",2,17.1530958886003
5,2,3.5,1,"versicolor",2,10.9955742875643
5.9,3,4.2,1.5,"versicolor",2,19.7920337176157
6,2.2,4,1,"versicolor",2,12.5663706143592
6.1,2.9,4.7,1.4,"versicolor",2,20.6716796606208
5.6,2.9,3.6,1.3,"versicolor",2,14.7026536188002
6.7,3.1,4.4,1.4,"versicolor",2,19.3522107461131
5.6,3,4.5,1.5,"versicolor",2,21.2057504117311
5.8,2.7,4.1,1,"versicolor",2,12.8805298797181
6.2,2.2,4.5,1.5,"versicolor",2,21.2057504117311
5.6,2.5,3.9,1.1,"versicolor",2,13.4774324839002
5.9,3.2,4.8,1.8,"versicolor",2,27.1433605270158
6.1,2.8,4,1.3,"versicolor",2,16.3362817986669
6.3,2.5,4.9,1.5,"versicolor",2,23.090706003885
6.1,2.8,4.7,1.2,"versicolor",2,17.7185825662464
6.4,2.9,4.3,1.3,"versicolor",2,17.5615029335669
6.6,3,4.4,1.4,"versicolor",2,19.3522107461131
6.8,2.8,4.8,1.4,"versicolor",2,21.1115026321234
6.7,3,5,1.7,"versicolor",2,26.7035375555132
6,2.9,4.5,1.5,"versicolor",2,21.2057504117311
5.7,2.6,3.5,1,"versicolor",2,10.9955742875643
5.5,2.4,3.8,1.1,"versicolor",2,13.1318572920053
5.5,2.4,3.7,1,"versicolor",2,11.6238928182822
5.8,2.7,3.9,1.2,"versicolor",2,14.7026536188002
6,2.7,5.1,1.6,"versicolor",2,25.6353960532927
5.4,3,4.5,1.5,"versicolor",2,21.2057504117311
6,3.4,4.5,1.6,"versicolor",2,22.6194671058465
6.7,3.1,4.7,1.5,"versicolor",2,22.148228207808
6.3,2.3,4.4,1.3,"versicolor",2,17.9699099785336
5.6,3,4.1,1.3,"versicolor",2,16.7446888436336
5.5,2.5,4,1.3,"versicolor",2,16.3362817986669
5.5,2.6,4.4,1.2,"versicolor",2,16.5876092109541
6.1,3,4.6,1.4,"versicolor",2,20.2318566891183
5.8,2.6,4,1.2,"versicolor",2,15.079644737231
5,2.3,3.3,1,"versicolor",2,10.3672557568463
5.6,2.7,4.2,1.3,"versicolor",2,17.1530958886003
5.7,3,4.2,1.2,"versicolor",2,15.8336269740926
5.7,2.9,4.2,1.3,"versicolor",2,17.1530958886003
6.2,2.9,4.3,1.3,"versicolor",2,17.5615029335669
5.1,2.5,3,1.1,"versicolor",2,10.3672557568463
5.7,2.8,4.1,1.3,"versicolor",2,16.7446888436336
6.3,3.3,6,2.5,"virginica",3,47.1238898038469
5.8,2.7,5.1,1.9,"virginica",3,30.4420328132851
7.1,3,5.9,2.1,"virginica",3,38.9243329779775
6.3,2.9,5.6,1.8,"virginica",3,31.6672539481851
6.5,3,5.8,2.2,"virginica",3,40.0867222598058
7.6,3,6.6,2.1,"virginica",3,43.5424741787545
4.9,2.5,4.5,1.7,"virginica",3,24.0331837999619
7.3,2.9,6.3,1.8,"virginica",3,35.6256606917083
6.7,2.5,5.8,1.8,"virginica",3,32.7982273034774
7.2,3.6,6.1,2.5,"virginica",3,47.9092879672443
6.5,3.2,5.1,2,"virginica",3,32.0442450666159
6.4,2.7,5.3,1.9,"virginica",3,31.6358380216492
6.8,3,5.5,2.1,"virginica",3,36.2853951489621
5.7,2.5,5,2,"virginica",3,31.4159265358979
5.8,2.8,5.1,2.4,"virginica",3,38.4530940799391
6.4,3.2,5.3,2.3,"virginica",3,38.2960144472596
6.5,3,5.5,1.8,"virginica",3,31.101767270539
7.7,3.8,6.7,2.2,"virginica",3,46.3070757139136
7.7,2.6,6.9,2.3,"virginica",3,49.85707541247
6,2.2,5,1.5,"virginica",3,23.5619449019234
6.9,3.2,5.7,2.3,"virginica",3,41.1862796885622
5.6,2.8,4.9,2,"virginica",3,30.78760800518
7.7,2.8,6.7,2,"virginica",3,42.0973415581032
6.3,2.7,4.9,1.8,"virginica",3,27.708847204662
6.7,3.3,5.7,2.1,"virginica",3,37.6048640634698
7.2,3.2,6,1.8,"virginica",3,33.9292006587698
6.2,2.8,4.8,1.8,"virginica",3,27.1433605270158
6.1,3,4.9,1.8,"virginica",3,27.708847204662
6.4,2.8,5.6,2.1,"virginica",3,36.945129606216
7.2,3,5.8,1.6,"virginica",3,29.1539798253133
7.4,2.8,6.1,1.9,"virginica",3,36.4110588551057
7.9,3.8,6.4,2,"virginica",3,40.2123859659494
6.4,2.8,5.6,2.2,"virginica",3,38.7044214922263
6.3,2.8,5.1,1.5,"virginica",3,24.0331837999619
6.1,2.6,5.6,1.4,"virginica",3,24.630086404144
7.7,3,6.1,2.3,"virginica",3,44.0765449298648
6.3,3.4,5.6,2.4,"virginica",3,42.2230052642468
6.4,3.1,5.5,1.8,"virginica",3,31.101767270539
6,3,4.8,1.8,"virginica",3,27.1433605270158
6.9,3.1,5.4,2.1,"virginica",3,35.6256606917083
6.7,3.1,5.6,2.4,"virginica",3,42.2230052642468
6.9,3.1,5.1,2.3,"virginica",3,36.8508818266083
5.8,2.7,5.1,1.9,"virginica",3,30.4420328132851
6.8,3.2,5.9,2.3,"virginica",3,42.6314123092135
6.7,3.3,5.7,2.5,"virginica",3,44.7676953136546
6.7,3,5.2,2.3,"virginica",3,37.5734481369339
6.3,2.5,5,1.9,"virginica",3,29.845130209103
6.5,3,5.2,2,"virginica",3,32.6725635973338
6.2,3.4,5.4,2.3,"virginica",3,39.0185807575852
5.9,3,5.1,1.8,"virginica",3,28.8398205599543
